Timestamp,Username,Name,Followers,Following,Posts,Likes
2026-02-28T18:07:19.742786+05:30,Notmeyaar,.·͙☽,39,95,2976,2322
2026-02-28T18:07:19.919938+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,550,454,4711,4213


2026-02-28T20:47:59.707432+05:30,Notmeyaar,.·͙☽,39,95,2976,2322
2026-02-28T20:47:59.808408+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,550,454,4711,4213
2026-02-28T23:57:41.260840+05:30,Notmeyaar,.·͙☽,39,95,2976,2322
2026-02-28T23:57:41.377869+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,550,454,4711,4213
2026-03-01T00:47:45.184925+05:30,Notmeyaar,.·͙☽,39,95,2976,2322
2026-03-01T01:51:09.265582+05:30,Notmeyaar,.·͙☽,39,95,2976,2322
2026-03-01T01:51:09.411121+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,550,454,4711,4213
2026-03-01T03:48:23.964923+05:30,Notmeyaar,.·͙☽,39,95,2976,2322
2026-03-01T03:48:24.087807+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,550,454,4711,4213
2026-03-01T07:27:53.105853+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,550,454,4711,4213
2026-03-01T09:54:20.669475+05:30,Notmeyaar,.·͙☽,39,95,2976,2322
2026-03-01T09:54:20.782959+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,551,454,4711,4213
2026-03-01T11:18:17.872658+05:30,Notmeyaar,.·͙☽,39,95,2976,2322
2026-03-01T11:18:18.007068+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,551,453,4711,4213
2026-03-01T13:00:12.004390+05:30,Notmeyaar,.·͙☽,39,95,2976,2322
2026-03-01T13:00:12.117844+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,551,453,4711,4213
2026-03-01T13:56:30.911927+05:30,Notmeyaar,.·͙☽,39,95,2976,2322
2026-03-01T13:56:31.022000+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,551,453,4711,4213
2026-03-01T14:55:52.756254+05:30,Notmeyaar,.·͙☽,39,95,2976,2322
2026-03-01T14:55:52.861683+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,550,453,4711,4213
2026-03-01T15:50:51.946771+05:30,Notmeyaar,.·͙☽,39,95,2976,2322
2026-03-01T15:50:52.095464+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,550,453,4711,4213
2026-03-01T18:09:36.885614+05:30,Notmeyaar,.·͙☽,39,95,2976,2322
2026-03-01T18:09:36.993618+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,550,453,4711,4213
2026-03-01T19:06:10.591969+05:30,Notmeyaar,.·͙☽,39,95,2976,2322
2026-03-01T19:06:10.739171+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,550,453,4711,4213
2026-03-01T19:50:55.048814+05:30,Notmeyaar,.·͙☽,39,95,2976,2322
2026-03-01T19:50:55.137851+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,550,453,4711,4213
2026-03-01T20:49:30.369977+05:30,Notmeyaar,.·͙☽,39,95,2976,2322
2026-03-01T20:49:30.485561+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,550,453,4711,4213
2026-03-01T21:52:18.892472+05:30,Notmeyaar,.·͙☽,39,95,2976,2322
2026-03-01T21:52:19.051189+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,550,453,4711,4213
2026-03-01T22:49:30.514399+05:30,Notmeyaar,.·͙☽,39,95,2976,2322
2026-03-01T22:49:30.666023+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,550,453,4711,4213
2026-03-01T23:57:34.695332+05:30,Notmeyaar,.·͙☽,39,95,2976,2322
2026-03-01T23:57:34.796277+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,550,453,4711,4213
2026-03-02T00:49:44.307584+05:30,Notmeyaar,.·͙☽,39,95,2976,2322
2026-03-02T00:49:44.422852+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,550,453,4711,4213
2026-03-02T02:49:03.694650+05:30,Notmeyaar,.·͙☽,39,95,2976,2322
2026-03-02T02:49:03.786924+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,550,453,4711,4213
2026-03-02T03:49:52.754256+05:30,Notmeyaar,.·͙☽,39,95,2976,2322
2026-03-02T03:49:52.867715+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,550,453,4711,4213
2026-03-02T04:49:26.094670+05:30,Notmeyaar,.·͙☽,39,95,2976,2322
2026-03-02T04:49:26.269954+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,550,453,4711,4213
2026-03-02T07:19:07.225397+05:30,Notmeyaar,.·͙☽,39,95,2976,2322
2026-03-02T07:19:07.348063+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,549,452,4711,4213
2026-03-02T09:40:27.244934+05:30,Notmeyaar,.·͙☽,39,95,2976,2322
2026-03-02T09:40:27.393880+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,549,452,4711,4213
2026-03-02T11:19:37.610934+05:30,Notmeyaar,.·͙☽,39,95,2976,2322
2026-03-02T11:19:37.741972+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,549,452,4711,4213
2026-03-02T13:15:53.704355+05:30,Notmeyaar,.·͙☽,39,95,2976,2322
2026-03-02T13:15:53.793103+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,549,452,4711,4213
2026-03-02T14:09:09.906781+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,549,452,4711,4213
2026-03-02T15:13:01.156486+05:30,Notmeyaar,.·͙☽,39,95,2976,2322
2026-03-02T15:13:01.264189+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,550,453,4711,4213
2026-03-02T16:09:33.594544+05:30,Notmeyaar,.·͙☽,39,95,2976,2322
2026-03-02T16:09:33.703186+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,550,453,4711,4213
2026-03-02T16:59:05.958140+05:30,Notmeyaar,.·͙☽,39,95,2976,2322
2026-03-02T16:59:06.146042+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,547,451,4711,4213
